,UNITID,OPEID,OPEID6,SCH_DEG,MAIN,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,ST_FIPS,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCUGPROF,CCSIZSET,RELAFFIL,PCIP51,UGDS,UG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_2MOR,UGDS_UNKN,UG_WHITENH,UG_BLACKNH,UG_HISPOLD,PPTUG_EF,CURROPER,NPT4_PRIV,NPT41_PRIV,NPT4_048_PRIV,NPT4_3075_PRIV,NUM4_PRIV,NUM41_PRIV,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,PCTPELL,C150_L4,C150_L4_POOLED,POOLYRS,D150_L4,D150_L4_POOLED,POOLYRS200,PCTFLOAN,UG25ABV,CDR2,CDR3,D100_L4,DTRANS_L4,ICLEVEL,UGDS_MEN,UGDS_WOMEN,CDR3_DENOM,CDR2_DENOM
0,100654,100200,1002,3.0,1,1,3,4,1,1,5,12.0,34.783367999999996,-86.568502,18.0,10.0,13.0,-2.0,0.0,4206.0,4380.0,0.0333,0.9353,0.0055,0.0019,0.0024,0.0,0.0138,0.0459,0.9055,0.0027,0.0656,1,,,,,,,21475.0,9096.0,16596.0,9427.0,7437.0,6892.0,0.8967,0.7356,,,2.0,,,2.0,0.8284,0.1049,0.114,0.172,,,1,0.4831,0.5169,1895.0,1574.0
1,100663,105200,1052,3.0,1,1,3,4,1,1,5,12.0,33.50223,-86.80917,15.0,9.0,15.0,-2.0,0.2084,11383.0,10331.0,0.5922,0.26,0.0283,0.0518,0.0022,0.0368,0.01,0.6124,0.2861,0.0101,0.2607,1,,,,,,,20621.0,7510.0,17062.0,9899.0,17920.0,9957.0,0.9072,0.34600000000000003,,,2.0,,,2.0,0.5214,0.2422,0.06,0.062,,,1,0.4169,0.5831,3937.0,3481.0
2,100690,2503400,25034,3.0,1,1,3,4,2,1,5,12.0,32.362609,-86.17401,20.0,5.0,6.0,74.0,0.0,291.0,98.0,0.299,0.4192,0.0069,0.0034,0.0,0.0,0.2715,0.6837,0.2347,0.0612,0.4536,1,12992.0,12992.0,12992.0,,3.0,3.0,16370.0,6900.0,6900.0,12459.0,5532.0,3430.0,0.6,0.6801,,,4.0,,,4.0,0.7795,0.8540000000000001,0.071,0.122,,,1,0.3986,0.6014,344.0,336.0
3,100706,105500,1055,3.0,1,1,3,4,1,1,5,12.0,34.722818,-86.63842,16.0,9.0,12.0,-2.0,0.21100000000000002,5451.0,5220.0,0.6988,0.1255,0.0382,0.0376,0.0143,0.0172,0.035,0.6912,0.1435,0.0186,0.2146,1,,,,,,,21107.0,9158.0,21232.0,8956.0,10211.0,9302.0,0.6221,0.3072,,,2.0,,,2.0,0.4596,0.264,0.077,0.061,,,1,0.5733,0.4267,1513.0,1392.0
4,100724,100500,1005,3.0,1,1,3,4,1,1,5,12.0,32.364317,-86.295677,19.0,10.0,13.0,-2.0,0.0888,4811.0,4348.0,0.0158,0.9208,0.0121,0.0019,0.001,0.0098,0.0137,0.0435,0.9172,0.0028,0.0892,1,,,,,,,18184.0,8720.0,15656.0,7733.0,7618.0,6609.0,0.6539,0.7347,,,2.0,,,2.0,0.7554,0.127,0.132,0.156,,,1,0.3877,0.6123,2137.0,1961.0
5,100751,105100,1051,3.0,1,1,3,4,1,1,5,13.0,33.2144,-87.545766,16.0,14.0,16.0,-2.0,0.0912,29851.0,15318.0,0.7825,0.1119,0.0348,0.0106,0.0038,0.0261,0.0026,0.8053,0.145,0.0086,0.0844,1,,,,,,,26400.0,9826.0,24950.0,12791.0,10239.0,9667.0,0.7045,0.204,,,2.0,,,2.0,0.401,0.0853,0.066,0.063,,,1,0.45799999999999996,0.542,5023.0,4678.0
6,100760,100700,1007,2.0,1,1,2,2,1,1,5,32.0,32.924428999999996,-85.94653000000001,1.0,2.0,2.0,-2.0,0.1372,1592.0,1577.0,0.7255,0.2613,0.0044,0.0025,0.0044,0.0,0.0019,0.773,0.20800000000000002,0.0044,0.3882,1,,,,,,,12054.0,3491.0,6576.0,2100.0,6847.0,5815.0,0.4338,0.5892,0.1397,0.11515537679932,2.0,587.0,1181.0,2.0,0.3977,0.3153,0.204,0.21899999999999997,587.0,587.0,2,0.3756,0.6244,656.0,588.0
7,100812,100800,1008,3.0,1,1,3,3,1,1,5,31.0,34.805625,-86.96514,22.0,5.0,9.0,-2.0,0.0108,2991.0,2662.0,0.7823,0.12,0.0191,0.0053,0.0157,0.0174,0.0334,0.8392,0.1187,0.0038,0.5517,1,,,,,,,,,,5476.0,6446.0,7711.0,0.4559,0.4088,,,,,,,0.6296,0.6409999999999999,0.067,0.086,,,1,0.3434,0.6566,929.0,892.0
8,100830,831000,8310,3.0,1,1,3,4,1,1,5,12.0,32.369939,-86.177351,18.0,9.0,12.0,-2.0,0.1851,4304.0,4098.0,0.5328,0.3376,0.0074,0.0221,0.0044,0.0297,0.0246,0.6318,0.3189,0.0112,0.2853,1,,,,,,,17903.0,9080.0,19640.0,8071.0,6837.0,7255.0,0.9538,0.4192,,,2.0,,,2.0,0.5803,0.293,0.09,0.106,,,1,0.3648,0.6352,1867.0,1653.0
9,100858,100900,1009,3.0,1,1,3,4,1,1,5,13.0,32.604684999999996,-85.482782,16.0,15.0,15.0,-2.0,0.0491,20514.0,18326.0,0.8507,0.0704,0.0248,0.0227,0.0074,0.0,0.013999999999999999,0.8959999999999999,0.0694,0.0083,0.0862,1,,,,,,,25282.0,10200.0,27384.0,14135.0,11704.0,9487.0,0.8816,0.161,,,2.0,,,2.0,0.3494,0.0415,0.045,0.045,,,1,0.5103,0.4897,3772.0,3475.0
10,100937,101200,1012,3.0,1,1,3,3,2,1,5,12.0,33.515453,-86.853636,21.0,14.0,11.0,71.0,0.0,1180.0,1395.0,0.7983,0.1102,0.0195,0.0517,0.0102,0.0051,0.0051,0.8437,0.1039,0.005,0.0017,1,18728.0,13621.0,14123.0,16083.0,202.0,38.0,45162.0,31708.0,31708.0,10266.0,10658.0,7451.0,0.6419,0.192,,,2.0,,,2.0,0.4809,0.0152,0.085,0.044000000000000004,,,1,0.5381,0.4619,267.0,221.0
11,101028,1218200,12182,2.0,1,1,2,2,1,1,5,41.0,32.42391,-85.031485,1.0,2.0,2.0,-2.0,0.3239,1727.0,1748.0,0.4661,0.4372,0.0492,0.0127,0.0023,0.0151,0.0139,0.5955,0.3387,0.0303,0.4198,1,,,,,,,6860.0,4320.0,7710.0,1641.0,4207.0,5878.0,0.2721,0.6369,0.1186,0.12587551020408,2.0,312.0,588.0,2.0,0.2537,0.3876,0.096,0.11,312.0,312.0,2,0.3683,0.6317,109.0,186.0
12,101073,1055400,10554,3.0,1,1,3,3,2,1,5,32.0,32.42443,-87.023531,22.0,11.0,8.0,68.0,0.0,322.0,532.0,0.027999999999999997,0.8758,0.0373,0.0093,0.0,0.0031,0.0,0.0432,0.8947,0.0,0.1056,1,12329.0,11675.0,11770.0,13254.0,147.0,102.0,17603.0,10320.0,10320.0,5768.0,6755.0,5812.0,0.6389,0.8667,,,2.0,,,2.0,0.9333,0.2367,0.223,0.315,,,1,0.5589999999999999,0.441,358.0,210.0
13,101116,1303906,13039,3.0,0,16,2,4,3,1,5,12.0,32.342684000000006,-86.216488,22.0,7.0,6.0,-2.0,0.537,522.0,207.0,0.3046,0.6054,0.0153,0.0153,0.0153,0.0,0.0326,0.256,0.7440000000000001,0.0,0.3238,1,23048.0,22227.0,22169.0,23431.0,24.0,15.0,27870.0,16360.0,16360.0,14833.0,6605.0,4517.0,0.2273,0.6845,,,2.0,,,4.0,0.7129,0.5726,0.174,0.17,,,1,0.2625,0.7375,19661.0,20558.0
14,101143,101500,1015,2.0,1,1,2,2,1,1,5,32.0,31.297496000000002,-85.836956,8.0,2.0,2.0,-2.0,0.0106,1729.0,1590.0,0.6408,0.2435,0.0509,0.0202,0.0081,0.0254,0.0069,0.7195,0.1899,0.0333,0.3823,1,,,,,,,8676.0,3976.0,7140.0,2055.0,5522.0,6309.0,0.4296,0.4895,0.0881,0.10909603174603,2.0,488.0,1008.0,2.0,0.2263,0.3399,0.177,0.23199999999999998,488.0,488.0,2,0.5396,0.4604,499.0,461.0
